2026-07-22 19:15:26.887 | ERROR    | __main__:run_single_cycle:53 - Trade cycle failed: No module named 'joblib'
2026-07-23 13:32:26.467 | WARNING  | __main__:run_single_cycle:154 - Failed to fetch live history for ORCL: float() argument must be a string or a real number, not 'Series'
2026-07-23 13:32:28.565 | INFO     | __main__:run_single_cycle:282 - RL Agent recommends HOLD (No Action) for ORCL.
2026-07-23 13:32:28.565 | INFO     | __main__:run_single_cycle:141 - Analyzing ABT via Live PPO state...
2026-07-23 13:32:29.216 | WARNING  | __main__:run_single_cycle:154 - Failed to fetch live history for ABT: float() argument must be a string or a real number, not 'Series'
2026-07-23 13:32:31.227 | INFO     | __main__:run_single_cycle:282 - RL Agent recommends HOLD (No Action) for ABT.
2026-07-23 13:32:31.227 | INFO     | __main__:run_single_cycle:141 - Analyzing TMO via Live PPO state...
2026-07-23 13:32:31.908 | WARNING  | __main__:run_single_cycle:154 - Failed to fetch live history for TMO: float() argument must be a string or a real number, not 'Series'
2026-07-23 13:32:34.397 | INFO     | __main__:run_single_cycle:282 - RL Agent recommends HOLD (No Action) for TMO.
2026-07-23 13:32:34.397 | INFO     | __main__:run_single_cycle:141 - Analyzing GS via Live PPO state...
2026-07-23 13:32:35.089 | WARNING  | __main__:run_single_cycle:154 - Failed to fetch live history for GS: float() argument must be a string or a real number, not 'Series'
2026-07-23 13:32:37.662 | INFO     | __main__:run_single_cycle:282 - RL Agent recommends HOLD (No Action) for GS.
2026-07-23 13:32:37.662 | INFO     | __main__:run_single_cycle:141 - Analyzing MS via Live PPO state...
2026-07-23 13:32:38.247 | WARNING  | __main__:run_single_cycle:154 - Failed to fetch live history for MS: float() argument must be a string or a real number, not 'Series'
2026-07-23 13:32:40.614 | INFO     | __main__:run_single_cycle:282 - RL Agent recommends HOLD (No Action) for MS.
2026-07-23 13:32:40.614 | INFO     | __main__:run_single_cycle:284 - --- Serverless Trade Cycle Completed ---
2026-07-24 16:26:54.404 | INFO     | __main__:<module>:381 - Initializing Advanced 24/7 Intraday SWARM Bot Pipeline...
2026-07-24 16:27:04.166 | INFO     | __main__:<module>:400 - Outside US Market Hours (Now: 06:57 ET). Intraday Engine Sleeping for 5 minutes...
2026-07-24 16:32:04.208 | INFO     | __main__:<module>:400 - Outside US Market Hours (Now: 07:02 ET). Intraday Engine Sleeping for 5 minutes...
2026-07-24 16:37:04.357 | INFO     | __main__:<module>:400 - Outside US Market Hours (Now: 07:07 ET). Intraday Engine Sleeping for 5 minutes...
2026-07-24 16:42:04.597 | INFO     | __main__:<module>:400 - Outside US Market Hours (Now: 07:12 ET). Intraday Engine Sleeping for 5 minutes...
